         4118159 function calls (4116165 primitive calls) in 9.068 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.017    0.017 /Users/addisonschiller/acceptable_loss/menu.py:129(setup)
      467    0.003    0.000    0.017    0.000 /usr/local/lib/python2.7/site-packages/pyglet/gl/cocoa.py:176(set_current)
     1110    0.001    0.000    0.017    0.000 /usr/local/lib/python2.7/site-packages/pyglet/sprite.py:477(_set_rotation)
     1772    0.005    0.000    0.016    0.000 /usr/local/lib/python2.7/site-packages/pyglet/graphics/vertexattribute.py:308(get_region)
    46568    0.015    0.000    0.016    0.000 /usr/local/lib/python2.7/site-packages/pyglet/libs/darwin/cocoapy/runtime.py:737(get_callable)
        5    0.000    0.000    0.015    0.003 /Users/addisonschiller/acceptable_loss/enemy.py:88(enemy_zombie_base)
       58    0.012    0.000    0.015    0.000 /usr/local/lib/python2.7/site-packages/pyglet/image/__init__.py:1072(_ensure_string_data)
        1    0.000    0.000    0.015    0.015 /Users/addisonschiller/acceptable_loss/inventory.py:54(__init__)
        8    0.000    0.000    0.015    0.002 /usr/local/lib/python2.7/site-packages/pyglet/text/__init__.py:220(__init__)
     2682    0.003    0.000    0.015    0.000 /Users/addisonschiller/acceptable_loss/statsmanager.py:107(update)
        8    0.000    0.000    0.015    0.002 /usr/local/lib/python2.7/site-packages/pyglet/text/document.py:593(set_style)
        8    0.000    0.000    0.015    0.002 /usr/local/lib/python2.7/site-packages/pyglet/text/document.py:493(set_style)
    33928    0.015    0.000    0.015    0.000 /usr/local/lib/python2.7/site-packages/pyglet/graphics/allocation.py:338(get_allocated_regions)
        8    0.000    0.000    0.015    0.002 /usr/local/lib/python2.7/site-packages/pyglet/text/layout.py:998(on_style_text)
        1    0.006    0.006    0.014    0.014 /Users/addisonschiller/acceptable_loss/player.py:1(<module>)
       24    0.000    0.000    0.014    0.001 /usr/local/lib/python2.7/site-packages/pyglet/font/base.py:358(get_glyphs)
      354    0.009    0.000    0.014    0.000 /usr/local/lib/python2.7/site-packages/pyglet/graphics/vertexbuffer.py:293(__init__)
        1    0.005    0.005    0.014    0.014 /usr/local/lib/python2.7/site-packages/pyglet/image/codecs/png.py:36(<module>)
        1    0.010    0.010    0.014    0.014 /Users/addisonschiller/acceptable_loss/plasmaslinger.py:1(<module>)
      659    0.003    0.000    0.014    0.000 /Users/addisonschiller/acceptable_loss/controller.py:29(rotate)
    48186    0.014    0.000    0.014    0.000 {max}
        1    0.006    0.006    0.014    0.014 /Users/addisonschiller/acceptable_loss/levelgenerator.py:1(<module>)
       29    0.009    0.000    0.013    0.000 /usr/local/lib/python2.7/site-packages/pyglet/font/quartz.py:57(render)
        1    0.007    0.007    0.013    0.013 /Users/addisonschiller/acceptable_loss/enemy.py:1(<module>)
